"一";2;1;"教育漢字 (kyōiku kanji)";"一";"イチ, イツ ";"ひと-, ひと.つ ";"かず, い, いっ, いる, かつ, かづ, てん, はじめ, ひ, ひとつ, まこと ";"one, one radical (no.1)";1;"ichi, itsu ";"hito-, hito.tsu "
"丂";9999;2;"表外漢字 (hyōgai kanji)";"一";"コウ ";"さまた.げられる ";"null";"obstruction of breath (qi) as it seeks release, variant of other characters";2;"kou ";"samata.gerareru "
"七";115;2;"教育漢字 (kyōiku kanji)";"一";"シチ ";"なな, なな.つ, なの ";"し, しっ, な, ひち ";"seven";3;"shichi ";"nana, nana.tsu, nano "
"万";375;3;"教育漢字 (kyōiku kanji)";"一";"マン, バン ";"よろず ";"かず, ま, ゆる ";"ten thousand, 10,000";4;"man, ban ";"yorozu "
"三";14;3;"教育漢字 (kyōiku kanji)";"一";"サン, ゾウ ";"み, み.つ, みっ.つ ";"か, さ, さい, さえ, さぶ, ざ, ざえ, ざぶ, そう, ぞ, ただ, みつ, みん, も, や ";"three";5;"san, zou ";"mi, mi.tsu, mi.tsu "
"上";35;3;"教育漢字 (kyōiku kanji)";"一";"ジョウ, ショウ, シャン ";"うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る ";"あおい, あげ, い, か, かき, かず, かん, こう, のぼり, ほつ ";"above, up";6;"jou, shou, shan ";"ue, -ue, uwa-, kami, a.geru, -a.geru, a.garu, -a.garu, a.gari, -a.gari, nobo.ru, nobo.ri, nobo.seru, nobo.su, tatematsu.ru "
"下";97;3;"教育漢字 (kyōiku kanji)";"一";"カ, ゲ ";"した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる ";"さか, しと ";"below, down, descend, give, low, inferior";7;"ka, ge ";"shita, shimo, moto, sa.geru, sa.garu, kuda.ru, kuda.ri, kuda.su, -kuda.su, kuda.saru, o.rosu, o.riru "
"丌";9999;3;"表外漢字 (hyōgai kanji)";"一";"キ, ゴ ";"そ.れ, そ.の, だい ";"null";"table";8;"ki, go ";"so.re, so.no, dai "
"不";101;4;"教育漢字 (kyōiku kanji)";"一";"フ, ブ ";"null";"null";"negative, non-, bad, ugly, clumsy";9;"fu, bu ";"null"
"与";308;3;"常用漢字 (jōyō kanji)";"一";"ヨ ";"あた.える, あずか.る, くみ.する, ともに ";"とも, ゆ ";"bestow, participate in, give, award, impart, provide, cause, gift, godsend";10;"yo ";"ata.eru, azuka.ru, kumi.suru, tomoni "
"丑";2305;4;"人名用漢字 (jinmeiyō kanji)";"一";"チュウ ";"うし ";"ひろ ";"sign of the ox or cow, 1-3AM, second sign of Chinese zodiac";11;"chuu ";"ushi "
"且";9999;5;"常用漢字 (jōyō kanji)";"一";"ショ, ソ, ショウ ";"か.つ ";"あき, かつ ";"moreover, also, furthermore";12;"sho, so, shou ";"ka.tsu "
"丕";9999;5;"表外漢字 (hyōgai kanji)";"一";"ヒ ";"おお.きい ";"null";"large, great, grand, glorious, distinguished";13;"hi ";"oo.kii "
"世";135;5;"教育漢字 (kyōiku kanji)";"一";"セイ, セ, ソウ ";"よ, さんじゅう ";"とし, ゆ, ゆき ";"generation, world, society, public";14;"sei, se, sou ";"yo, sanjuu "
"丗";9999;5;"表外漢字 (hyōgai kanji)";"一";"セイ, セ, ソウ ";"よ, さんじゅう ";"null";"thirty";15;"sei, se, sou ";"yo, sanjuu "
"丘";1405;5;"常用漢字 (jōyō kanji)";"一";"キュウ ";"おか ";"たかし ";"hill, knoll";16;"kyuu ";"oka "
"丙";9999;5;"常用漢字 (jōyō kanji)";"一";"ヘイ ";"ひのえ ";"null";"third class, 3rd, 3rd calendar sign";17;"hei ";"hinoe "
"丞";9999;6;"人名用漢字 (jinmeiyō kanji)";"一";"ジョウ, ショウ ";"すく.う, たす.ける ";"すけ ";"help";18;"jou, shou ";"suku.u, tasu.keru "
